日期,高齡化社會 ,高齡友善,老人居住安排,無障礙空間,老人共食,送餐服務,老人送餐,以屋換屋,以房養老,全齡宅,人口老化,老人教育,樂齡學習
2018/11/1,10,4,0,12,0,11,6,0,14,0,10,0,18
2018/12/1,11,4,0,6,0,9,9,0,17,0,16,0,12
2019/1/1,11,5,0,6,0,4,5,0,12,0,13,0,17
2019/2/1,9,2,0,4,0,9,7,0,10,0,8,0,21
2019/3/1,10,2,0,4,0,11,6,0,21,0,10,0,21
2019/4/1,11,8,0,10,0,12,4,0,14,0,10,0,18
2019/5/1,12,2,0,4,0,10,7,0,15,0,8,0,25
2019/6/1,14,6,0,6,0,6,6,0,15,0,12,0,18
2019/7/1,5,4,0,0,0,11,5,0,28,0,12,0,22
2019/8/1,9,4,0,8,0,4,7,0,17,0,14,0,31
2019/9/1,13,10,0,5,0,15,10,0,6,0,9,0,26
2019/10/1,10,0,0,8,0,4,3,0,15,0,9,0,14
2019/11/1,14,8,0,5,0,5,4,0,19,0,8,0,18
2019/12/1,11,10,0,4,0,10,6,0,13,0,12,0,17
2020/1/1,14,5,0,3,0,4,4,0,5,0,7,0,7
2020/2/1,11,4,0,7,0,2,0,0,12,0,3,0,10
2020/3/1,11,4,0,8,0,8,5,0,10,0,12,0,12
2020/4/1,14,2,0,3,0,8,6,0,15,0,14,0,15
2020/5/1,12,4,0,7,0,12,7,0,15,0,17,0,15
2020/6/1,14,6,0,3,0,7,3,0,14,0,12,0,22
2020/7/1,4,5,0,2,0,5,10,0,13,0,6,0,17
2020/8/1,3,5,0,3,0,3,4,0,8,0,0,0,14
2020/9/1,4,5,0,9,0,5,9,0,9,0,8,0,17
2020/10/1,7,7,0,5,0,13,5,0,16,0,17,0,17
2020/11/1,12,4,0,6,0,10,8,0,12,0,5,0,22
2020/12/1,15,5,0,5,0,5,3,0,11,0,9,0,27
2021/1/1,11,5,0,8,0,7,8,0,13,0,0,0,21
2021/2/1,12,6,0,6,0,9,3,0,14,0,13,0,25
2021/3/1,14,11,0,5,0,9,9,0,12,0,16,0,30
2021/4/1,10,10,0,5,0,6,5,0,16,0,11,0,29
2021/5/1,7,7,0,2,0,6,4,0,8,0,13,0,13
2021/6/1,19,4,0,4,0,9,2,0,8,0,14,0,0
2021/7/1,8,4,0,3,0,8,5,0,12,0,5,0,10
2021/8/1,3,5,0,1,0,7,8,0,6,0,5,0,9
2021/9/1,5,7,0,7,0,4,0,0,11,0,4,0,10
2021/10/1,16,6,0,4,0,11,7,0,11,0,14,0,18
2021/11/1,10,11,0,2,0,7,5,0,20,0,12,0,22
2021/12/1,13,3,0,7,0,11,6,0,13,0,6,0,14
