日期,網際網路治理,跨國電信犯罪 ,網路犯罪,資訊犯罪,電腦犯罪,網路詐欺、網路詐騙,解除分期付款,網路購物、網路拍賣, 網路交易犯罪 ,妨礙電腦使用
2020/7/1,0,0,2,0,1,9,0,37,0,1
2020/8/1,0,0,1,0,0,11,0,32,0,1
2020/9/1,0,0,1,0,1,10,0,30,0,1
2020/10/1,0,0,2,0,0.6,11,0,26,0,0
2020/11/1,0,0,0,0,1,12,0,32,0,0
2020/12/1,0,0,2,0,1,11,0,30,0,0
2021/1/1,0,0,2,0,0,10,0,27,0,1
2021/2/1,0,0,1,0,0,12,0,24,0,1
2021/3/1,0,0,3,0,0,9,0,24,0,1
2021/4/1,0,0,2,0,0.6,14,0,23,0,0
2021/5/1,0,0,1,0,0,10,0,37,0,0
2021/6/1,0,0,3,0,1,13,0,44,0,0
2021/7/1,0,0,2,0,1,12,0,28,0,0
2021/8/1,0,0,1,0,1,15,0,25,0,0.6
2021/9/1,0,0,0,0,1,14,0,26,0,1
2021/10/1,0,0,3,0,0,15,0,28,0,1
2021/11/1,0,0,2,0,0,14,0,27,0,1
2021/12/1,0,0,2,0,1,12,0,24,0,1
