日期,長照、長期照顧、長期照護,長期照護機構、長期照顧機構、長照安養機構、安養中心,長照保險、長期照顧保險,健康產業,外籍看護,全民健保、二代健保、健保,長照離職,照護喘息、喘息服務,家庭托顧
2018/7/1,10,1.6,1.2,0.6,1,37,0,0.6,0.6
2018/8/1,11,1.6,1.2,0.6,1,39,0,0.6,0
2018/9/1,10,1,0.6,0.6,0.6,37,0,0.6,0
2018/10/1,12,1.6,0.6,0.6,1,42,0,0.6,0.6
2018/11/1,12,1.6,0.6,0.6,0.6,39,0,0.6,0
2018/12/1,11,1,0.6,0.6,1,45,0,0.6,0
2019/1/1,10,1.6,1.2,0.6,1,55,0,0.6,0
2019/2/1,10,1.6,1.2,0.6,1,37,0,0.6,0
2019/3/1,12,1.6,1.2,0.6,1,38,0,0.6,0
2019/4/1,11,1.6,0.6,0.6,1,43,0,0.6,0.6
2019/5/1,12,1.6,0.6,0.6,1,59,0,0.6,0.6
2019/6/1,12,1.6,0.6,0.6,1,38,0,0.6,0.6
2019/7/1,13,1.6,0.6,0.6,1,43,0,0.6,0
2019/8/1,13,2.6,1.2,0.6,1,41,0,0.6,0
2019/9/1,14,1,0.6,0.6,1,41,0,0.6,0.6
2019/10/1,14,1.6,0.6,0.6,1,43,0,0.6,0
2019/11/1,13,1.6,0.6,0.6,1,35.6,0,0.6,0
2019/12/1,15,1.6,0.6,0.6,1,41,0,0.6,0.6
2020/1/1,10,1.6,0.6,0.6,1,42,0,0.6,0
2020/2/1,10,1.6,0.6,0.6,1,79,0,0.6,0.6
2020/3/1,13,1.6,1.2,0.6,1,88,0,0.6,0.6
2020/4/1,13,1.6,0.6,0.6,1,105,0,0.6,0.6
2020/5/1,14,1.6,0.6,0.6,1,61,0,0.6,0.6
2020/6/1,15,1.6,1.2,0.6,1,54,0,0.6,0.6
2020/7/1,13,1.6,1.2,0.6,1,55,0,0.6,0.6
2020/8/1,13,1.6,0.6,0.6,1,47,0,0.6,0.6
2020/9/1,13,2.6,1.2,0.6,1,46,0,0.6,0
2020/10/1,12.6,1.6,0.6,0.6,1,41,0,0.6,0.6
2020/11/1,14,1.6,1.2,0.6,0.6,43,0,0.6,0.6
2020/12/1,15,1.6,0.6,0.6,1,45,0,0.6,0
2021/1/1,13,1.6,1.2,0.6,1,53,0,0.6,0.6
2021/2/1,12,2.6,1.2,0.6,0.6,44,0,0.6,0
2021/3/1,15,2.6,0.6,0.6,1,48,0,0.6,0.6
2021/4/1,14,1.6,0.6,0.6,1,45,0,0.6,0.6
2021/5/1,13,1.6,1.2,0.6,1,48,0,0.6,0.6
2021/6/1,13,1.6,0.6,0.6,1,65,0,0.6,0
2021/7/1,10,1.6,0,0.6,1,75,0,0.6,0.6
2021/8/1,12,1.6,1.2,0.6,1,49,0,0.6,0.6
2021/9/1,13,1.6,0.6,0.6,1,77,0,0.6,0.6
2021/10/1,12.6,1.6,1.2,0.6,1,52,0,0.6,0.6
2021/11/1,14,1.6,0.6,0.6,1,45,0,0.6,0.6
2021/12/1,14,1.6,0.6,0.6,1,49,0,0.6,0
