日期,資料外洩、資料竊取,資訊安全、通訊安全,資訊通訊安全、資通安全,個資保護, 個資外洩,網路駭客, 網路攻擊, 惡意軟體, 木馬程式,電腦病毒,釣魚網站, 釣魚攻擊
2019/4/1,2,29,12,6,3,1,0,2,1,8,2,0
2019/5/1,3,36,15,8,5,5,5,2,2,7,2,0
2019/6/1,3,30,11,7,9,1,4,3,0,11,1,0
2019/7/1,2,37,18,6,10,1,12,3,1,5,3,0
2019/8/1,5,32,14,3,6,2,3,1,5,5,2,0
2019/9/1,3,37,15,6,6,2,3,5,0,6,2,0
2019/10/1,4,35,16,4,14,9,6,4,3,6,1,0
2019/11/1,6,36,13,7,12,5,5,5,2,5,4,0
2019/12/1,4,36,11,7,8,5,5,8,2,6,4,0
2020/1/1,3,20,12,8,5,3,3,3,1,6,4,0
2020/2/1,2,24,14,4,2,5,2,6,3,8,5,0
2020/3/1,2,36,21,5,7,2,3,5,3,8,4,0
2020/4/1,3,35,20,4,7,3,3,4,0,16,2,0
2020/5/1,7,38,17,6,9,6,9,4,4,10,2,0
2020/6/1,5,37,20,5,9,3,5,7,2,5,2,0
2020/7/1,3,34,20,7,5,2,0,6,0,7,3,0
2020/8/1,5,39,27,7,8,2,3,4,3,3,1,0
2020/9/1,5,43,27,4,3,3,1,5,0,7,1,0
2020/10/1,4,31,19,7,13,1,4,4,1,4,1,0
2020/11/1,6,34,20,5,5,2,2,3,0,5,2,0
2020/12/1,6,33,12,7,8,2,9,2,2,7,2,0
2021/1/1,4,27,19,4,6,2,3,5,2,5,0,0
2021/2/1,1,24,18,6,6,3,3,7,1,1,4,0
2021/3/1,4,38,26,6,6,2,1,3,2,9,5,0
2021/4/1,4,38,25,5,6,3,3,2,3,7,1,0
2021/5/1,2,32,12,5,9,5,5,4,3,7,4,0
2021/6/1,4,38,16,11,7,2,3,5,4,13,3,0
2021/7/1,3,34,14,6,6,4,5,3,2,6,4,0
2021/8/1,3,34,19,8,6,1,3,2,1,3,2,0
2021/9/1,2,41,19,10,11,5,6,0,2,5,5,0
2021/10/1,13,30,15,9,5,2,4,2,2,6,3,0
2021/11/1,4,44,18,8,9,2,5,3,2,6,1,0
2021/12/1,6,37,18,4,6,2,5,5,2,3,2,0
